16
16
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;23;1;1;1;1;22;1;1;1;1;14;1;1;1;0
0;1;1;12;1;1;1;1;1;1;15;14;17;1;1;0
0;1;13;0;11;1;0;1;1;1;1;14;1;1;1;0
0;1;1;10;1;1;1;1;1;1;1;1;1;1;1;0
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
0;24;1;1;1;1;25;1;1;1;1;1;1;1;1;0
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
0;1;1;5;1;1;1;1;1;1;1;1;51;54;1;0
0;1;2;1;4;1;1;1;1;1;1;1;50;50;50;0
0;1;1;3;1;1;1;1;1;1;1;52;50;50;50;0
0;1;1;1;1;1;1;1;1;1;1;53;50;50;50;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
